team_id,team,matches_found,wins,draws,losses,goals_for,goals_against,avg_goals_for,avg_goals_against,over_2_5_rate,btts_rate,clean_sheet_rate,failed_to_score_rate
5529,Canada,10,4,5,1,9,4,0.9,0.4,0.1,0.2,0.7,0.4
1113,Bosnia & Herzegovina,10,3,6,1,20,10,2.0,1.0,0.5,0.8,0.2,0.1
2384,USA,10,5,1,4,18,17,1.8,1.7,0.6,0.7,0.1,0.2
2380,Paraguay,10,4,2,4,12,10,1.2,1.0,0.5,0.4,0.4,0.3
1569,Qatar,7,1,2,4,4,9,0.57,1.29,0.43,0.43,0.14,0.57
15,Switzerland,10,5,4,1,22,8,2.2,0.8,0.5,0.5,0.5,0.2
6,Brazil,10,6,1,3,25,11,2.5,1.1,0.7,0.6,0.3,0.1
31,Morocco,10,7,3,0,22,3,2.2,0.3,0.5,0.3,0.7,0.1
2386,Haiti,10,4,3,3,15,10,1.5,1.0,0.5,0.3,0.5,0.3
1108,Scotland,10,6,1,3,21,10,2.1,1.0,0.6,0.5,0.3,0.3
20,Australia,10,5,1,4,13,10,1.3,1.0,0.4,0.4,0.3,0.3
777,Türkiye,10,8,1,1,25,13,2.5,1.3,0.7,0.5,0.4,0.1
25,Germany,10,9,0,1,28,8,2.8,0.8,0.7,0.4,0.5,0.1
5530,Curaçao,10,4,3,3,19,14,1.9,1.4,0.5,0.4,0.5,0.3
1118,Netherlands,10,6,3,1,22,8,2.2,0.8,0.6,0.6,0.3,0.1
12,Japan,10,7,2,1,14,6,1.4,0.6,0.3,0.2,0.7,0.2
1501,Ivory Coast,10,8,1,1,21,7,2.1,0.7,0.5,0.4,0.6,0.0
2382,Ecuador,10,4,6,0,12,5,1.2,0.5,0.2,0.5,0.5,0.2
5,Sweden,10,2,3,5,13,20,1.3,2.0,0.6,0.7,0.0,0.3
28,Tunisia,10,3,4,3,13,14,1.3,1.4,0.5,0.5,0.3,0.3
9,Spain,9,6,3,0,25,4,2.78,0.44,0.67,0.33,0.67,0.11
1533,Cape Verde Islands,10,5,4,1,19,9,1.9,0.9,0.5,0.4,0.6,0.1
